Schema,Name,Row Count,Description,Domain,Rows per Study
ctgov,baseline_counts,139556,"Sample size at baseline for each study group; usually a count of participants but can represent other units of measure such as 'hands', 'hips', etc.",Results,many
ctgov,baseline_measurements,1447638,Summaries of demographic & baseline measures collected by arm or comparison group and for the entire population of participants in the clinical study.,Results,many
ctgov,brief_summaries,374770,A single text column that provides a brief description of the study.,Protocol,one
ctgov,browse_conditions,633066,NLM uses an internal algorithm to assess the data entered for a study and creates a list of standard MeSH terms that describe the condition(s) being addressed by the clinical trial. This table provides the results of NLM's assessment,Protocol,many
ctgov,browse_interventions,255332,NLM uses an internal algorithm to assess the data entered for a study and creates a list of standard MeSH terms that describe the intervention(s) being addressed by the clinical trial. This table provides the results of NLM's assessment,Protocol,many
ctgov,calculated_values,375612,"An AACT-provided table that contains info that's been calculated from the information received from ClinicalTrials.gov. For example, number_of_facilities and actual_duration are provided in this table.",Protocol,one
ctgov,central_contacts,147806,Contact info for people (primary & backup) who can answer questions concerning enrollment at any location of the study.,Protocol,many
ctgov,conditions,636557,"Name(s) of the disease(s) or condition(s) studied in the clinical study, or the focus of the clinical study. Can include NLM's Medical Subject Heading (MeSH)-controlled vocabulary terms.",Protocol,many
ctgov,countries,530128,Countries in which the study has facilities/sites.,Protocol,many
ctgov,design_group_interventions,820143,"A cross reference for groups/interventions. If a study has multiple groups and multiple interventions, this table shows which interventions are associated with which groups.",Protocol,many
ctgov,design_groups,668350,"Defines the protocol-specified group, subgroup, or cohort of participants in a clinical trial assigned to receive specific intervention(s) or observations according to a protocol.",Protocol,many
ctgov,design_outcomes,2088215,"Description of planned outcome measures and observations that will describe patterns of diseases and traits/associations with exposures, risk factors or treatment.",Protocol,many
ctgov,designs,375612,"Description of how the study will be conducted, including comparison group design and strategies for masking and allocating participants.",Protocol,one
ctgov,detailed_descriptions,249571,A single text column that provides a detailed description of the study protocol.,Protocol,one
ctgov,documents,9733,"The full study protocol and statistical analysis plan must be uploaded as part of results information submission, for studies with a Primary Completion Date on or after January 18, 2017. The protocol and statistical analysis plan may be optionally uploaded before results information submission and updated with new versions, as needed. Informed consent forms may optionally be uploaded at any time.",Results,many
ctgov,drop_withdrawals,357711,"Summarized information about how many participants withdrew from the study, when and why. This information explains disposition of participants relative to the numbers starting and completing the study (enumerated in the Milestones table).",Results,many
ctgov,eligibilities,375612,Information about the criteria used to select participants; includes inclusion and exclusion criteria,Protocol,one
ctgov,facilities,2494726,"Name, address and recruiting status of the facilities participating in the study.",Protocol,many
ctgov,facility_contacts,334112,"Contact information for people responsible for the study at each facility. (primary and backup) Facility contact information is available if the facility status (Facilities.Status) is ‘Recruiting’ or ‘Not yet recruiting’, and if the data provider has provided such information. Contact information is removed from the publicly available content at ClinicalTrials.gov when the facility is no longer recruiting, or when the overall study status (Studies.Overall_status) changes to indicate that the study has completed recruitment.",Protocol,many
ctgov,facility_investigators,224737,"Names of the investigators at each study facility. Facility investigator information is available if the facility status (Facilities.Status) is ‘Recruiting’ or ‘Not yet recruiting’, and if the data provider has provided such information. Investigator information is removed from the publicly available content at ClinicalTrials.gov when the facility is no longer recruiting, or when the overall study status (Studies.Overall_status) changes to indicate that the study has completed recruitment.",Protocol,many
ctgov,id_information,506342,"Identifiers (other than the NCT ID) that uniquely identify the study such as that assigned by the sponsor, or an NCT ID that had previously been used for the study.",Protocol,many
ctgov,intervention_other_names,326707,Terns or phrases that are synonymous with an intervention. (Each row is linked to one of the interventions associated with the study.),Protocol,many
ctgov,interventions,643512,"The interventions or exposures (including drugs, medical devices, procedures, vaccines, and other products) of interest to the study, or associated with study arms/groups.",Protocol,many
ctgov,keywords,1012626,Provides words or phrases that best describe the protocol. Keywords help users find studies in the database. Can include NLM's Medical Subject Heading (MeSH)-controlled vocabulary terms.,Protocol,many
ctgov,links,56669,"Web site directly relevant to the protocol. (ie, links to educational, research, government, and other non-profit Web pages)",Protocol,many
ctgov,milestones,511104,"Information summarizing the progress of participants through each stage of a study, including the number of participants who started and completed the trial. Enumeration of participants not completing the study is included in the Drop_Withdrawals table.",Results,many
ctgov,outcome_analyses,206592,"Results of scientifically appropriate statistical analyses performed on primary and secondary study outcomes. Includes results for treatment effect estimates, confidence intervals and othe rmeasures of dispersion, and p-values.",Results,many
ctgov,outcome_analysis_groups,399943,Identifies the comparison groups that were involved with each outcome analysis,Results,many
ctgov,outcome_counts,907566,"Sample size included in analysis for each outcome for each study group; usually participants but can represent other units of measure such as eyes 'lesions', etc.",Results,many
ctgov,outcome_measurements,2907984,Summary data for primary and secondary outcome measures for each study group. Includes parameter estimates and measures of dispersion/precision.,Results,many
ctgov,outcomes,379655,"Descriptions of outcomes, or observation that were measured to determine patterns of diseases or traits, or associations with exposures, risk factors, or treatment. Includes information such as time frame, population and units. (Specific measurement results are stored in the Outcome_Measurements table.)",Results,many
ctgov,overall_officials,374697,People responsible for the overall scientific leadership of the protocol including the principal investigator.,Protocol,many
ctgov,participant_flows,48700,"Recruitment information relevant to the recruitment process & pre-assignment details (ie. significant events in the study that occur after participant enrollment, but prior to assignment of participants). Information about participant flow that applies to all milestones.",Results,one
ctgov,pending_results,17914,"Provides information about events related to the submission of study results for quality control (QC) review before the results are publicly posted. Events reported: submissions, cancellations and returns for modifications. 'Unknown' is specified for cancellations that occurred before 05/08/2018 (when this data began being collected). When a study passes quality control review: 1) results_first_submitted_date is set to the study's first submission date, 2) results_first_submitted_qc_date is set to the submission date of the version of results that passed QC, 3) the study's pending_results rows are removed, and 4) the results are posted on ClinicalTrials.gov. The latest versions of all studies are posted every business day but, there can be unexpected delays. The results_first_posted_date value will usually be identified as an 'Estimate' when first posted. This will switch to 'Actual' (and the date may be adjusted) on the next posting cycle, when the true posting date is known.",Results,many
ctgov,provided_documents,23790,"The full study protocol and statistical analysis plan must be uploaded as part of results information submission, for studies with a Primary Completion Date on or after January 18, 2017. The protocol and statistical analysis plan may be optionally uploaded before results information submission and updated with new versions, as needed. Informed consent forms may optionally be uploaded at any time.",Results,many
ctgov,reported_events,6481059,"Summary information about reported adverse events (any untoward or unfavorable medical occurrence to participants, including abnormal physical exams, laboratory findings, symptoms, or diseases), including serious adverse events, other adverse events, and mortality.",Results,many
ctgov,responsible_parties,356790,"People who have access to and control over the data from the study, have the right to publish study results, and have the ability to meet all of the requirements for the submission of study information.",Protocol,many
ctgov,result_agreements,48700,"Info about whether an agreement exists between the sponsor & the principal investigators (PIs) that restricts the PIs ability to discuss study results at scientific meetings or other public or private forums, or to publish info concerning the study in scientific or academic journals after the study is completed.",Results,many
ctgov,result_contacts,48700,Point of contact for scientific information about the clinical study results information.,Results,many
ctgov,result_groups,1262140,"Consolidated, aggregate list of group titles/descriptions used for reporting summary results information.",Results,many
ctgov,search_results,5496,This joins studies with saved queries withing the study_searches table,,many
ctgov,sponsors,600257,"Name of study sponsors and collaborators. The sponsor is the entity or individual initiating the study. Collaborators are other organizations providing support, including funding, design, implementation, data analysis, and reporting.",Protocol,many
ctgov,studies,375612,"Basic info about study, including study title, date study registered with ClinicalTrials.gov, date results first posted to ClinicalTrials.gov, dates for study start and completion, phase of study, enrollment status, planned or actual enrollment, number of study arms/groups, etc.",Protocol & Results,one
ctgov,study_references,1145888,Citations to publications related to the study protocol and/or results. Includes PubMed Unique Identifier (PMID) and/or full bibliographic citation.,Protocol,many
ctgov,study_searches,1,These are saved queries that are used to search ClinicalTrials.gov,,none
proj_tag_study_characteristics,tagged_terms,115,"Table of terms determined to be either mental health, oncology or cardiovascular-related by a team of Duke clinicians. The source of the terms is the 2010 MeSH thesaurus as well as free-text terms/phrases used to identify interventional studies registered in ClinicalTrials.gov between 2007 and 2010.",Project,
ctgov,ipd_information_types,30155,,,
ctgov,mesh_headings,0,,,
ctgov,mesh_terms,0,,,
ctgov,reported_event_totals,0,,,
ctgov,retractions,0,,,
