,nlm doc,db schema,table,column,data type,CTTI note,enumerations,source
,,ctgov,studies,disposition_first_submitted_date,date,"Date when a sponsor indicates that they will be delaying posting of results (and are certifying initial approval or new use), or when they apply for an extension of the deadline. Per NLM: ""The _submitted suffix indicates the date that the responsible party pressed the release button in the ClinicalTrials.gov data submission system, thereby submitting the data for review prior to posting.""",,ProtocolSection.StatusModule.DispFirstSubmitDate
,,ctgov,studies,study_first_submitted_date,date,"Per NLM: ""The _submitted suffix indicates the date that the responsible party pressed the release button in the ClinicalTrials.gov data submission system, thereby submitting the data for review prior to posting.""",,ProtocolSection.StatusModule.StudyFirstSubmitDate
,StartDate,ctgov,studies,start_month_year,string,"The value of the start date exactly as it is provided by ClinicalTrials.gov. Some studies have only month/year defined for the start date (ie. October, 2014). That value is stored in this column and the start_date column converts this value to a date by assigning it the first day of the month.",,ProtocolSection.StatusModule.StartDateStruct.StartDate
,,ctgov,studies,nlm_download_date_description,string,Date NLM made study available via their API.,,n/a
,,ctgov,studies,last_update_submitted_date,date,"Per NLM: ""The _submitted suffix indicates the date that the responsible party pressed the release button in the ClinicalTrials.gov data submission system, thereby submitting the data for review prior to posting.""",,ProtocolSection.StatusModule.LastUpdateSubmitDate
,,ctgov,studies,results_first_submitted_date,date,"This value is only available for studies that have results.  It is the date when the results were first received.  Per NLM: ""The _submitted suffix indicates the date that the responsible party pressed the release button in the ClinicalTrials.gov data submission system, thereby submitting the data for review prior to posting.""",,ProtocolSection.StatusModule.ResultsFirstSubmitDate
,StartDate,ctgov,studies,start_date,date,"The date the study started in a date-type format so that it can be used to find studies before/after/inclusive of a date or dates.  For studies that only provide month/year, the last day of the month is used.",,ProtocolSection.StatusModule.StartDateStruct.StartDate
,VerificationDate,ctgov,studies,verification_month_year,string,"The value of the verification date exactly as it is provided by ClinicalTrials.gov. Some studies have only month/year defined for the verification date (ie. October, 2014). That value is stored in this column and the verification_date column converts this value to a date by assigning it the first day of the month.",,ProtocolSection.StatusModule.StatusVerifiedDate
,VerificationDate,ctgov,studies,verification_date,date,"The date the study was last verified in a date-type format so that it can be used to find studies before/after/inclusive of a date or dates.  For studies that only provide month/year, the last day of the month is used.",,ProtocolSection.StatusModule.StatusVerifiedDate
,LastFollowUpDate,ctgov,studies,completion_month_year,string,"The value of the completion date exactly as it is provided by ClinicalTrials.gov. Some studies have only month/year defined for the completion date (ie. October, 2014). That value is stored in this column and the completion_date column converts this value to a date by assigning it the first day of the month.",,ProtocolSection.StatusModule.CompletionDateStruct.CompletionDate
,LastFollowUpDate,ctgov,studies,completion_date,date,"The date the study was completed (as defined by NLM) in a date-type format so that it can be used to find studies before/after/inclusive of a date or dates.  For studies that only provide month/year, the last day of the month is used.",,ProtocolSection.StatusModule.CompletionDateStruct.CompletionDate
,,ctgov,studies,nct_id,string,"(primary key)  NCT ID is a unique identification code given to each clinical study registered on ClinicalTrials.gov. The format is the letters ""NCT"" followed by an 8-digit number (for example, NCT00000419).",,ProtocolSection.IdentificationModule.NCTId 
,,proj_results_reporting,analyzed_studies,us_coderc,string,Location of Facilities (Imputed Using Removed Countries) Derived from country in address listed for study facilities.  Also incorporates information from countries where all sites from a particular country were removed from the study record.,,n/a
,PrimaryCompletionDate,ctgov,studies,primary_completion_month_year,string,"The value of the primary completion date exactly as it is provided by ClinicalTrials.gov. Some studies have only month/year defined for the primary completion date (ie. October, 2014). That value is stored in this column and the primary_completion_date column converts this value to a date by assigning it the first day of the month.",,ProtocolSection.StatusModule.PrimaryCompletionDateStruct.PrimaryCompletionDate
,PrimaryCompletionDate,ctgov,studies,primary_completion_date,date,"The primary completion date for the study (as defined by NLM) in a date-type format so that it can be used to find studies before/after/inclusive of a date or dates.  For studies that only provide month/year, the last day of the month is used.",,ProtocolSection.StatusModule.PrimaryCompletionDateStruct.PrimaryCompletionDateType
,NumberOfGroups,ctgov,studies,number_of_groups,integer,"The number of arms for interventional studies, it is NULL when the study is an interventional study	",,n/a
,StartDate,ctgov,studies,start_date_type,string,,"Actual (253,251 - 52.72%)null (188,029 - 39.14%)Anticipated (39,123 - 8.14%)",ProtocolSection.StatusModule.StartDateStruct.StartDateType
,OutcomeAnticipatedPostDate,ctgov,outcomes,anticipated_posting_date,date,This is the date-type value of anticipated_posting_month_year.  The last day of the month is used as the 'day'.,,ResultsSection.OutcomeMeasuresModule.OutcomeMeasureList.OutcomeMeasure.OutcomeMeasureAnticipatedPostingDate
,,ctgov,studies,study_first_submitted_qc_date,date,"Per NLM: ""The _submitted_qc suffix indicates the submission date of the version of the record that met quality control criteria. It is common for there to be revisions between the first submission and the submission that meets qc criteria. Note this is not the date that the qc review was completed.""",,ProtocolSection.StatusModule.StudyFirstSubmitQCDate
,,ctgov,studies,study_first_posted_date,date,"Per NLM: ""The _posted suffix indicates the date that a submission was made public on ClinicalTrials.gov. Typically, posting occurs the business day after qc review was successfully completed. We began collecting posted dates in early 2017. Dates from before then are estmates. All posted dates include a type attribute of Actual or Estimate.""",,ProtocolSection.StatusModule.StudyFirstPostDateStruct.StudyFirstPostDate
